32, N20, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
33, C21, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
34, O22, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
35, O23, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
36, C24, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
37, C3U, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - ,
38, CM4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - ,
39, C9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - ,
40, C1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - ,
#===========================================================================================================
41,BR  , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - ,
42, CM6, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - ,
43, O10, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , o ,
44, N11, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
45, O14, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
46, ODA, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , o ,
47, ODB, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , o ,
48, O13, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - ,
49, C7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - ,
50, F5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - ,
#===========================================================================================================


#######################################
## R: Purine base , Y: Pyrimidine base
001,  A, R , adenine
002,  G, R , guanosine
003,  U, Y , uridine
004,  C, Y , cytidine
005,2MG, R , 2N-methylguanosine
006,H2U, Y , 5,6-dihydrouridine 
007,M2G, R , N2-dimethylguanosine
008,OMC, Y , O2'-methylycytidine
009,OMG, R , O2'-methylguanosine
010,YYG, R , 4-(3-[5-O-phosphonoribofuranosyl]-4,6-dimethyl-8-oxo- 4,8-dihydro-3h-1,3,4,5,7a-pentaaza-s-indacen-ylamino- butyric acid methyl ester
011,PSU, Y , pseudouridine
012,5MC, Y , 5-methylcytidine
013,7MG, R , 7N-methyl-8-hydroguanosine
014,5MU, Y , 5-methyluridine
015,1MA, R , 6-hydro-1-methyladenosine
016,4OC, Y , 4N,O2'-methylcytidine
017,UR3, Y , 3-methyluridine
018,MA6, R , 6N-dimethyladenosine
019,  I, R , inosine
020,PYY, N , (phenil-ribonucleotide)
021,CB2, Y , 5-bromo-cytidine
022,AET, R , N-(nebularin-6-yl-methylcarbamoyl)-L-threonine
023,QUO, R , 2-amino-7-deaza-(2",3"-dihydroxy-cyclopentiyamino)-guanosine
024,1MG, R , 1N-methylguanosine
025,FHU, Y , (5S,6R)-5-fluoro-6-hydroxy-pseudouridine
026,OMU, Y , O2'-methyluridine
027,T6A, R , N-(NEBULARIN-6-YLCARBAMOYL)-L-THREONINE
028,RIA, R , 2'-O-[(5'-phospho)ribosyl]adenosine
029,MIA, R , 2-methylthio-N6-isopentenyl-adenosine
