# r   PMF(r)   Fit(r)
22.425000  -0.294965  -0.293243
22.450000  -0.294550  -0.292834
22.475000  -0.294136  -0.292425
22.500000  -0.293723  -0.292017
22.525000  -0.293311  -0.291610
22.550000  -0.292900  -0.291204
22.575000  -0.292490  -0.290798
22.600000  -0.292081  -0.290394
22.625000  -0.291673  -0.289991
22.650000  -0.291266  -0.289588
22.675000  -0.290859  -0.289187
22.700000  -0.290454  -0.288786
22.725000  -0.290050  -0.288387
22.750000  -0.289646  -0.287988
22.775000  -0.289244  -0.287590
22.800000  -0.288842  -0.287193
22.825000  -0.288442  -0.286797
22.850000  -0.288042  -0.286401
22.875000  -0.287643  -0.286007
22.900000  -0.287245  -0.285614
22.925000  -0.286848  -0.285221
22.950000  -0.286452  -0.284829
22.975000  -0.286057  -0.284439
23.000000  -0.285663  -0.284049
23.025000  -0.285270  -0.283660
23.050000  -0.284877  -0.283271
23.075000  -0.284486  -0.282884
23.100000  -0.284095  -0.282498
23.125000  -0.283705  -0.282112
23.150000  -0.283316  -0.281727
23.175000  -0.282928  -0.281343
23.200000  -0.282541  -0.280960
23.225000  -0.282154  -0.280578
23.250000  -0.281769  -0.280197
23.275000  -0.281384  -0.279816
23.300000  -0.281000  -0.279436
23.325000  -0.280617  -0.279057
23.350000  -0.280235  -0.278679
23.375000  -0.279854  -0.278302
23.400000  -0.279473  -0.277926
23.425000  -0.279094  -0.277550
23.450000  -0.278715  -0.277176
23.475000  -0.278337  -0.276802
23.500000  -0.277959  -0.276429
23.525000  -0.277583  -0.276056
23.550000  -0.277207  -0.275685
23.575000  -0.276832  -0.275314
23.600000  -0.276458  -0.274944
23.625000  -0.276085  -0.274575
23.650000  -0.275712  -0.274207
23.675000  -0.275341  -0.273840
23.700000  -0.274970  -0.273473
23.725000  -0.274600  -0.273107
23.750000  -0.274230  -0.272742
23.775000  -0.273862  -0.272378
23.800000  -0.273494  -0.272014
23.825000  -0.273127  -0.271652
23.850000  -0.272760  -0.271290
23.875000  -0.272395  -0.270929
23.900000  -0.272030  -0.270568
23.925000  -0.271666  -0.270209
23.950000  -0.271302  -0.269850
23.975000  -0.270940  -0.269492
24.000000  -0.270578  -0.269135
24.025000  -0.270217  -0.268778
24.050000  -0.269856  -0.268423
24.075000  -0.269497  -0.268068
24.100000  -0.269138  -0.267713
24.125000  -0.268780  -0.267360
24.150000  -0.268422  -0.267007
24.175000  -0.268066  -0.266655
24.200000  -0.267710  -0.266304
24.225000  -0.267355  -0.265954
24.250000  -0.267000  -0.265604
24.275000  -0.266646  -0.265255
24.300000  -0.266293  -0.264907
24.325000  -0.265941  -0.264559
24.350000  -0.265590  -0.264212
24.375000  -0.265239  -0.263866
24.400000  -0.264889  -0.263521
24.425000  -0.264539  -0.263177
24.450000  -0.264191  -0.262833
24.475000  -0.263843  -0.262490
24.500000  -0.263495  -0.262147
24.525000  -0.263149  -0.261806
24.550000  -0.262803  -0.261465
24.575000  -0.262458  -0.261124
24.600000  -0.262113  -0.260785
24.625000  -0.261770  -0.260446
24.650000  -0.261427  -0.260108
24.675000  -0.261084  -0.259770
24.700000  -0.260743  -0.259434
24.725000  -0.260402  -0.259098
24.750000  -0.260062  -0.258762
24.775000  -0.259722  -0.258428
24.800000  -0.259384  -0.258094
24.825000  -0.259045  -0.257761
24.850000  -0.258708  -0.257428
24.875000  -0.258371  -0.257096
24.900000  -0.258035  -0.256765
24.925000  -0.257700  -0.256435
24.950000  -0.257365  -0.256105
24.975000  -0.257031  -0.255776
25.000000  -0.256698  -0.255447
25.025000  -0.256365  -0.255120
25.050000  -0.256033  -0.254793
25.075000  -0.255702  -0.254466
25.100000  -0.255371  -0.254140
25.125000  -0.255042  -0.253815
25.150000  -0.254712  -0.253491
25.175000  -0.254384  -0.253167
25.200000  -0.254056  -0.252844
25.225000  -0.253729  -0.252522
25.250000  -0.253402  -0.252200
25.275000  -0.253076  -0.251879
25.300000  -0.252751  -0.251559
25.325000  -0.252426  -0.251239
25.350000  -0.252102  -0.250920
25.375000  -0.251779  -0.250601
25.400000  -0.251456  -0.250283
25.425000  -0.251134  -0.249966
25.450000  -0.250813  -0.249650
25.475000  -0.250492  -0.249334
25.500000  -0.250172  -0.249018
25.525000  -0.249853  -0.248704
25.550000  -0.249534  -0.248390
25.575000  -0.249216  -0.248077
25.600000  -0.248898  -0.247764
25.625000  -0.248581  -0.247452
25.650000  -0.248265  -0.247140
25.675000  -0.247949  -0.246829
25.700000  -0.247634  -0.246519
25.725000  -0.247320  -0.246210
25.750000  -0.247006  -0.245901
25.775000  -0.246693  -0.245592
25.800000  -0.246381  -0.245285
25.825000  -0.246069  -0.244977
25.850000  -0.245758  -0.244671
25.875000  -0.245447  -0.244365
25.900000  -0.245137  -0.244060
25.925000  -0.244828  -0.243755
25.950000  -0.244519  -0.243451
25.975000  -0.244211  -0.243148
26.000000  -0.243903  -0.242845
26.025000  -0.243596  -0.242542
26.050000  -0.243290  -0.242241
26.075000  -0.242984  -0.241940
26.100000  -0.242679  -0.241639
26.125000  -0.242374  -0.241339
26.150000  -0.242070  -0.241040
26.175000  -0.241767  -0.240741
26.200000  -0.241464  -0.240443
26.225000  -0.241162  -0.240146
26.250000  -0.240860  -0.239849
26.275000  -0.240559  -0.239553
26.300000  -0.240259  -0.239257
26.325000  -0.239959  -0.238962
26.350000  -0.239660  -0.238667
26.375000  -0.239361  -0.238373
26.400000  -0.239063  -0.238080
26.425000  -0.238766  -0.237787
26.450000  -0.238469  -0.237495
26.475000  -0.238172  -0.237203
26.500000  -0.237877  -0.236912
26.525000  -0.237581  -0.236621
26.550000  -0.237287  -0.236331
26.575000  -0.236993  -0.236042
26.600000  -0.236699  -0.235753
26.625000  -0.236406  -0.235464
26.650000  -0.236114  -0.235177
26.675000  -0.235822  -0.234889
26.700000  -0.235531  -0.234603
26.725000  -0.235240  -0.234317
26.750000  -0.234950  -0.234031
26.775000  -0.234660  -0.233746
26.800000  -0.234371  -0.233462
26.825000  -0.234083  -0.233178
26.850000  -0.233795  -0.232894
26.875000  -0.233508  -0.232612
26.900000  -0.233221  -0.232329
26.925000  -0.232935  -0.232048
26.950000  -0.232649  -0.231767
26.975000  -0.232364  -0.231486
27.000000  -0.232079  -0.231206
27.025000  -0.231795  -0.230926
27.050000  -0.231512  -0.230647
27.075000  -0.231229  -0.230369
27.100000  -0.230946  -0.230091
27.125000  -0.230664  -0.229813
27.150000  -0.230383  -0.229537
27.175000  -0.230102  -0.229260
27.200000  -0.229821  -0.228984
27.225000  -0.229542  -0.228709
27.250000  -0.229262  -0.228434
27.275000  -0.228984  -0.228160
27.300000  -0.228705  -0.227886
27.325000  -0.228428  -0.227613
27.350000  -0.228150  -0.227340
27.375000  -0.227874  -0.227068
27.400000  -0.227598  -0.226796
27.425000  -0.227322  -0.226525
27.450000  -0.227047  -0.226255
27.475000  -0.226772  -0.225984
27.500000  -0.226498  -0.225715
27.525000  -0.226224  -0.225446
27.550000  -0.225951  -0.225177
27.575000  -0.225679  -0.224909
27.600000  -0.225407  -0.224641
27.625000  -0.225135  -0.224374
27.650000  -0.224864  -0.224108
27.675000  -0.224593  -0.223842
27.700000  -0.224323  -0.223576
27.725000  -0.224054  -0.223311
27.750000  -0.223785  -0.223046
27.775000  -0.223516  -0.222782
27.800000  -0.223248  -0.222518
27.825000  -0.222980  -0.222255
27.850000  -0.222713  -0.221993
27.875000  -0.222447  -0.221731
27.900000  -0.222181  -0.221469
27.925000  -0.221915  -0.221208
27.950000  -0.221650  -0.220947
27.975000  -0.221385  -0.220687
28.000000  -0.221121  -0.220427
28.025000  -0.220857  -0.220168
28.050000  -0.220594  -0.219909
28.075000  -0.220331  -0.219651
28.100000  -0.220069  -0.219393
28.125000  -0.219807  -0.219136
28.150000  -0.219546  -0.218879
28.175000  -0.219285  -0.218622
28.200000  -0.219025  -0.218366
28.225000  -0.218765  -0.218111
28.250000  -0.218506  -0.217856
28.275000  -0.218247  -0.217602
28.300000  -0.217989  -0.217348
28.325000  -0.217731  -0.217094
28.350000  -0.217473  -0.216841
28.375000  -0.217216  -0.216588
28.400000  -0.216960  -0.216336
28.425000  -0.216703  -0.216084
28.450000  -0.216448  -0.215833
28.475000  -0.216193  -0.215582
28.500000  -0.215938  -0.215332
28.525000  -0.215684  -0.215082
28.550000  -0.215430  -0.214833
28.575000  -0.215177  -0.214584
28.600000  -0.214924  -0.214335
28.625000  -0.214671  -0.214087
28.650000  -0.214419  -0.213839
28.675000  -0.214168  -0.213592
28.700000  -0.213917  -0.213345
28.725000  -0.213666  -0.213099
28.750000  -0.213416  -0.212853
28.775000  -0.213167  -0.212608
28.800000  -0.212917  -0.212363
28.825000  -0.212669  -0.212119
28.850000  -0.212420  -0.211874
28.875000  -0.212172  -0.211631
28.900000  -0.211925  -0.211388
28.925000  -0.211678  -0.211145
28.950000  -0.211431  -0.210903
28.975000  -0.211185  -0.210661
29.000000  -0.210940  -0.210419
29.025000  -0.210695  -0.210178
29.050000  -0.210450  -0.209938
29.075000  -0.210205  -0.209698
29.100000  -0.209961  -0.209458
29.125000  -0.209718  -0.209219
29.150000  -0.209475  -0.208980
29.175000  -0.209232  -0.208741
29.200000  -0.208990  -0.208503
29.225000  -0.208748  -0.208266
29.250000  -0.208507  -0.208028
29.275000  -0.208266  -0.207792
29.300000  -0.208026  -0.207555
29.325000  -0.207786  -0.207319
29.350000  -0.207546  -0.207084
29.375000  -0.207307  -0.206849
29.400000  -0.207068  -0.206614
29.425000  -0.206830  -0.206380
29.450000  -0.206592  -0.206146
29.475000  -0.206355  -0.205913
29.500000  -0.206118  -0.205680
29.525000  -0.205881  -0.205447
29.550000  -0.205645  -0.205215
29.575000  -0.205409  -0.204983
29.600000  -0.205173  -0.204752
29.625000  -0.204938  -0.204521
29.650000  -0.204704  -0.204290
29.675000  -0.204470  -0.204060
29.700000  -0.204236  -0.203831
29.725000  -0.204003  -0.203601
29.750000  -0.203770  -0.203372
29.775000  -0.203537  -0.203144
29.800000  -0.203305  -0.202916
29.825000  -0.203073  -0.202688
29.850000  -0.202842  -0.202461
29.875000  -0.202611  -0.202234
29.900000  -0.202380  -0.202007
29.925000  -0.202150  -0.201781
29.950000  -0.201921  -0.201555
29.975000  -0.201691  -0.201330
30.000000  -0.201462  -0.201105
30.025000  -0.201234  -0.200880
30.050000  -0.201006  -0.200656
30.075000  -0.200778  -0.200432
30.100000  -0.200550  -0.200209
30.125000  -0.200323  -0.199986
30.150000  -0.200097  -0.199763
30.175000  -0.199871  -0.199541
30.200000  -0.199645  -0.199319
30.225000  -0.199419  -0.199098
30.250000  -0.199194  -0.198877
30.275000  -0.198970  -0.198656
30.300000  -0.198746  -0.198436
30.325000  -0.198522  -0.198216
30.350000  -0.198298  -0.197996
30.375000  -0.198075  -0.197777
30.400000  -0.197852  -0.197558
30.425000  -0.197630  -0.197340
30.450000  -0.197408  -0.197121
30.475000  -0.197186  -0.196904
30.500000  -0.196965  -0.196686
30.525000  -0.196744  -0.196469
30.550000  -0.196524  -0.196253
30.575000  -0.196304  -0.196037
30.600000  -0.196084  -0.195821
30.625000  -0.195865  -0.195605
30.650000  -0.195646  -0.195390
30.675000  -0.195427  -0.195175
30.700000  -0.195209  -0.194961
30.725000  -0.194991  -0.194747
30.750000  -0.194774  -0.194533
30.775000  -0.194556  -0.194320
30.800000  -0.194340  -0.194107
30.825000  -0.194123  -0.193895
30.850000  -0.193907  -0.193682
30.875000  -0.193692  -0.193471
30.900000  -0.193476  -0.193259
30.925000  -0.193261  -0.193048
30.950000  -0.193047  -0.192837
30.975000  -0.192833  -0.192627
31.000000  -0.192619  -0.192417
31.025000  -0.192405  -0.192207
31.050000  -0.192192  -0.191998
31.075000  -0.191979  -0.191789
31.100000  -0.191767  -0.191580
31.125000  -0.191555  -0.191372
31.150000  -0.191343  -0.191164
31.175000  -0.191132  -0.190956
31.200000  -0.190921  -0.190749
31.225000  -0.190710  -0.190542
31.250000  -0.190500  -0.190335
31.275000  -0.190290  -0.190129
31.300000  -0.190080  -0.189923
31.325000  -0.189871  -0.189718
31.350000  -0.189662  -0.189513
31.375000  -0.189454  -0.189308
31.400000  -0.189246  -0.189103
31.425000  -0.189038  -0.188899
31.450000  -0.188830  -0.188695
31.475000  -0.188623  -0.188492
31.500000  -0.188416  -0.188289
31.525000  -0.188210  -0.188086
31.550000  -0.188004  -0.187883
31.575000  -0.187798  -0.187681
31.600000  -0.187592  -0.187479
31.625000  -0.187387  -0.187278
31.650000  -0.187183  -0.187077
31.675000  -0.186978  -0.186876
31.700000  -0.186774  -0.186676
31.725000  -0.186570  -0.186475
31.750000  -0.186367  -0.186276
31.775000  -0.186164  -0.186076
31.800000  -0.185961  -0.185877
31.825000  -0.185759  -0.185678
31.850000  -0.185557  -0.185480
31.875000  -0.185355  -0.185282
31.900000  -0.185154  -0.185084
31.925000  -0.184952  -0.184886
31.950000  -0.184752  -0.184689
31.975000  -0.184551  -0.184492
32.000000  -0.184351  -0.184296
32.025000  -0.184151  -0.184099
32.050000  -0.183952  -0.183903
32.075000  -0.183753  -0.183708
32.100000  -0.183554  -0.183513
32.125000  -0.183356  -0.183318
32.150000  -0.183158  -0.183123
32.175000  -0.182960  -0.182929
32.200000  -0.182762  -0.182735
32.225000  -0.182565  -0.182541
32.250000  -0.182368  -0.182348
32.275000  -0.182172  -0.182155
32.300000  -0.181975  -0.181962
32.325000  -0.181780  -0.181770
32.350000  -0.181584  -0.181577
32.375000  -0.181389  -0.181386
32.400000  -0.181194  -0.181194
32.425000  -0.180999  -0.181003
32.450000  -0.180805  -0.180812
32.475000  -0.180611  -0.180622
32.500000  -0.180417  -0.180431
32.525000  -0.180224  -0.180241
32.550000  -0.180031  -0.180052
32.575000  -0.179838  -0.179862
32.600000  -0.179646  -0.179673
32.625000  -0.179454  -0.179485
32.650000  -0.179262  -0.179296
32.675000  -0.179070  -0.179108
32.700000  -0.178879  -0.178920
32.725000  -0.178688  -0.178733
32.750000  -0.178497  -0.178546
32.775000  -0.178307  -0.178359
32.800000  -0.178117  -0.178172
32.825000  -0.177928  -0.177986
32.850000  -0.177738  -0.177800
32.875000  -0.177549  -0.177614
32.900000  -0.177360  -0.177429
32.925000  -0.177172  -0.177243
32.950000  -0.176984  -0.177059
32.975000  -0.176796  -0.176874
33.000000  -0.176608  -0.176690
33.025000  -0.176421  -0.176506
33.050000  -0.176234  -0.176322
33.075000  -0.176047  -0.176139
33.100000  -0.175861  -0.175956
33.125000  -0.175675  -0.175773
33.150000  -0.175489  -0.175591
33.175000  -0.175304  -0.175408
33.200000  -0.175118  -0.175226
33.225000  -0.174933  -0.175045
33.250000  -0.174749  -0.174863
33.275000  -0.174564  -0.174682
33.300000  -0.174380  -0.174502
33.325000  -0.174197  -0.174321
33.350000  -0.174013  -0.174141
33.375000  -0.173830  -0.173961
33.400000  -0.173647  -0.173781
33.425000  -0.173465  -0.173602
33.450000  -0.173282  -0.173423
33.475000  -0.173100  -0.173244
33.500000  -0.172919  -0.173066
33.525000  -0.172737  -0.172887
33.550000  -0.172556  -0.172710
33.575000  -0.172375  -0.172532
33.600000  -0.172194  -0.172354
33.625000  -0.172014  -0.172177
33.650000  -0.171834  -0.172001
33.675000  -0.171654  -0.171824
33.700000  -0.171475  -0.171648
33.725000  -0.171296  -0.171472
33.750000  -0.171117  -0.171296
33.775000  -0.170938  -0.171120
33.800000  -0.170760  -0.170945
33.825000  -0.170582  -0.170770
33.850000  -0.170404  -0.170596
33.875000  -0.170226  -0.170421
33.900000  -0.170049  -0.170247
33.925000  -0.169872  -0.170073
33.950000  -0.169696  -0.169900
33.975000  -0.169519  -0.169727
34.000000  -0.169343  -0.169554
34.025000  -0.169167  -0.169381
34.050000  -0.168992  -0.169208
34.075000  -0.168816  -0.169036
34.100000  -0.168641  -0.168864
34.125000  -0.168466  -0.168693
34.150000  -0.168292  -0.168521
34.175000  -0.168118  -0.168350
34.200000  -0.167944  -0.168179
34.225000  -0.167770  -0.168008
34.250000  -0.167597  -0.167838
34.275000  -0.167423  -0.167668
34.300000  -0.167250  -0.167498
34.325000  -0.167078  -0.167329
34.350000  -0.166905  -0.167159
34.375000  -0.166733  -0.166990
34.400000  -0.166562  -0.166821
34.425000  -0.166390  -0.166653
34.450000  -0.166219  -0.166485
34.475000  -0.166048  -0.166317
34.500000  -0.165877  -0.166149
34.525000  -0.165706  -0.165981
34.550000  -0.165536  -0.165814
34.575000  -0.165366  -0.165647
34.600000  -0.165196  -0.165480
34.625000  -0.165027  -0.165314
34.650000  -0.164858  -0.165148
34.675000  -0.164689  -0.164982
34.700000  -0.164520  -0.164816
34.725000  -0.164351  -0.164650
34.750000  -0.164183  -0.164485
34.775000  -0.164015  -0.164320
34.800000  -0.163848  -0.164155
34.825000  -0.163680  -0.163991
34.850000  -0.163513  -0.163827
34.875000  -0.163346  -0.163663
34.900000  -0.163179  -0.163499
34.925000  -0.163013  -0.163335
34.950000  -0.162847  -0.163172
34.975000  -0.162681  -0.163009
35.000000  -0.162515  -0.162846
35.025000  -0.162350  -0.162684
35.050000  -0.162185  -0.162522
35.075000  -0.162020  -0.162360
35.100000  -0.161855  -0.162198
35.125000  -0.161691  -0.162036
35.150000  -0.161527  -0.161875
35.175000  -0.161363  -0.161714
35.200000  -0.161199  -0.161553
35.225000  -0.161036  -0.161393
35.250000  -0.160872  -0.161232
35.275000  -0.160709  -0.161072
35.300000  -0.160547  -0.160913
35.325000  -0.160384  -0.160753
35.350000  -0.160222  -0.160594
35.375000  -0.160060  -0.160434
35.400000  -0.159898  -0.160276
35.425000  -0.159737  -0.160117
35.450000  -0.159576  -0.159959
35.475000  -0.159415  -0.159800
35.500000  -0.159254  -0.159642
35.525000  -0.159093  -0.159485
35.550000  -0.158933  -0.159327
35.575000  -0.158773  -0.159170
35.600000  -0.158613  -0.159013
35.625000  -0.158454  -0.158856
35.650000  -0.158294  -0.158700
35.675000  -0.158135  -0.158543
35.700000  -0.157977  -0.158387
35.725000  -0.157818  -0.158232
35.750000  -0.157660  -0.158076
35.775000  -0.157501  -0.157921
35.800000  -0.157344  -0.157765
35.825000  -0.157186  -0.157611
35.850000  -0.157028  -0.157456
35.875000  -0.156871  -0.157301
35.900000  -0.156714  -0.157147
35.925000  -0.156557  -0.156993
35.950000  -0.156401  -0.156839
35.975000  -0.156245  -0.156686
36.000000  -0.156089  -0.156532
36.025000  -0.155933  -0.156379
36.050000  -0.155777  -0.156227
36.075000  -0.155622  -0.156074
36.100000  -0.155467  -0.155921
36.125000  -0.155312  -0.155769
36.150000  -0.155157  -0.155617
36.175000  -0.155003  -0.155465
36.200000  -0.154848  -0.155314
36.225000  -0.154694  -0.155163
36.250000  -0.154541  -0.155012
36.275000  -0.154387  -0.154861
36.300000  -0.154234  -0.154710
36.325000  -0.154081  -0.154560
36.350000  -0.153928  -0.154409
36.375000  -0.153775  -0.154259
36.400000  -0.153623  -0.154110
36.425000  -0.153471  -0.153960
36.450000  -0.153319  -0.153811
36.475000  -0.153167  -0.153662
36.500000  -0.153015  -0.153513
36.525000  -0.152864  -0.153364
36.550000  -0.152713  -0.153216
36.575000  -0.152562  -0.153067
36.600000  -0.152411  -0.152919
36.625000  -0.152261  -0.152771
36.650000  -0.152111  -0.152624
36.675000  -0.151961  -0.152476
36.700000  -0.151811  -0.152329
36.725000  -0.151661  -0.152182
36.750000  -0.151512  -0.152035
36.775000  -0.151363  -0.151889
36.800000  -0.151214  -0.151743
36.825000  -0.151065  -0.151596
36.850000  -0.150917  -0.151451
36.875000  -0.150769  -0.151305
36.900000  -0.150620  -0.151159
36.925000  -0.150473  -0.151014
36.950000  -0.150325  -0.150869
36.975000  -0.150178  -0.150724
37.000000  -0.150030  -0.150579
37.025000  -0.149883  -0.150435
37.050000  -0.149737  -0.150291
37.075000  -0.149590  -0.150147
37.100000  -0.149444  -0.150003
37.125000  -0.149298  -0.149859
37.150000  -0.149152  -0.149716
37.175000  -0.149006  -0.149573
37.200000  -0.148860  -0.149430
37.225000  -0.148715  -0.149287
37.250000  -0.148570  -0.149144
37.275000  -0.148425  -0.149002
37.300000  -0.148280  -0.148860
37.325000  -0.148136  -0.148718
37.350000  -0.147992  -0.148576
37.375000  -0.147848  -0.148434
37.400000  -0.147704  -0.148293
37.425000  -0.147560  -0.148152
37.450000  -0.147417  -0.148011
37.475000  -0.147273  -0.147870
37.500000  -0.147130  -0.147729
37.525000  -0.146987  -0.147589
37.550000  -0.146845  -0.147449
37.575000  -0.146702  -0.147309
37.600000  -0.146560  -0.147169
37.625000  -0.146418  -0.147029
37.650000  -0.146276  -0.146890
37.675000  -0.146135  -0.146751
37.700000  -0.145993  -0.146612
37.725000  -0.145852  -0.146473
37.750000  -0.145711  -0.146334
37.775000  -0.145570  -0.146196
37.800000  -0.145429  -0.146058
37.825000  -0.145289  -0.145920
37.850000  -0.145149  -0.145782
37.875000  -0.145009  -0.145644
37.900000  -0.144869  -0.145507
37.925000  -0.144729  -0.145369
37.950000  -0.144590  -0.145232
37.975000  -0.144451  -0.145095
38.000000  -0.144312  -0.144959
38.025000  -0.144173  -0.144822
38.050000  -0.144034  -0.144686
38.075000  -0.143896  -0.144550
38.100000  -0.143757  -0.144414
38.125000  -0.143619  -0.144278
38.150000  -0.143481  -0.144143
38.175000  -0.143344  -0.144007
38.200000  -0.143206  -0.143872
38.225000  -0.143069  -0.143737
38.250000  -0.142932  -0.143602
38.275000  -0.142795  -0.143468
38.300000  -0.142658  -0.143333
38.325000  -0.142522  -0.143199
38.350000  -0.142385  -0.143065
38.375000  -0.142249  -0.142931
38.400000  -0.142113  -0.142798
38.425000  -0.141977  -0.142664
38.450000  -0.141842  -0.142531
38.475000  -0.141706  -0.142398
38.500000  -0.141571  -0.142265
38.525000  -0.141436  -0.142132
38.550000  -0.141301  -0.142000
38.575000  -0.141167  -0.141867
38.600000  -0.141032  -0.141735
38.625000  -0.140898  -0.141603
38.650000  -0.140764  -0.141471
38.675000  -0.140630  -0.141339
38.700000  -0.140496  -0.141208
38.725000  -0.140363  -0.141077
38.750000  -0.140229  -0.140946
38.775000  -0.140096  -0.140815
38.800000  -0.139963  -0.140684
38.825000  -0.139830  -0.140553
38.850000  -0.139698  -0.140423
38.875000  -0.139565  -0.140293
38.900000  -0.139433  -0.140163
38.925000  -0.139301  -0.140033
38.950000  -0.139169  -0.139903
38.975000  -0.139038  -0.139774
39.000000  -0.138906  -0.139645
39.025000  -0.138775  -0.139515
39.050000  -0.138644  -0.139386
39.075000  -0.138513  -0.139258
39.100000  -0.138382  -0.139129
39.125000  -0.138251  -0.139001
39.150000  -0.138121  -0.138872
39.175000  -0.137990  -0.138744
39.200000  -0.137860  -0.138616
39.225000  -0.137730  -0.138489
39.250000  -0.137601  -0.138361
39.275000  -0.137471  -0.138234
39.300000  -0.137342  -0.138106
39.325000  -0.137213  -0.137979
39.350000  -0.137084  -0.137853
39.375000  -0.136955  -0.137726
39.400000  -0.136826  -0.137599
39.425000  -0.136698  -0.137473
39.450000  -0.136569  -0.137347
39.475000  -0.136441  -0.137221
39.500000  -0.136313  -0.137095
39.525000  -0.136185  -0.136969
39.550000  -0.136058  -0.136844
39.575000  -0.135930  -0.136719
39.600000  -0.135803  -0.136593
39.625000  -0.135676  -0.136468
39.650000  -0.135549  -0.136344
39.675000  -0.135422  -0.136219
39.700000  -0.135296  -0.136094
39.725000  -0.135169  -0.135970
39.750000  -0.135043  -0.135846
39.775000  -0.134917  -0.135722
39.800000  -0.134791  -0.135598
39.825000  -0.134665  -0.135475
39.850000  -0.134540  -0.135351
39.875000  -0.134415  -0.135228
39.900000  -0.134289  -0.135105
39.925000  -0.134164  -0.134982
39.950000  -0.134039  -0.134859
39.975000  -0.133915  -0.134736
40.000000  -0.133790  -0.134614
40.025000  -0.133666  -0.134491
40.050000  -0.133542  -0.134369
40.075000  -0.133417  -0.134247
40.100000  -0.133294  -0.134125
40.125000  -0.133170  -0.134004
40.150000  -0.133046  -0.133882
40.175000  -0.132923  -0.133761
40.200000  -0.132800  -0.133640
40.225000  -0.132677  -0.133519
40.250000  -0.132554  -0.133398
40.275000  -0.132431  -0.133277
40.300000  -0.132309  -0.133156
40.325000  -0.132186  -0.133036
40.350000  -0.132064  -0.132916
40.375000  -0.131942  -0.132796
40.400000  -0.131820  -0.132676
40.425000  -0.131698  -0.132556
40.450000  -0.131577  -0.132436
40.475000  -0.131455  -0.132317
40.500000  -0.131334  -0.132198
40.525000  -0.131213  -0.132079
40.550000  -0.131092  -0.131960
40.575000  -0.130971  -0.131841
40.600000  -0.130851  -0.131722
40.625000  -0.130730  -0.131604
40.650000  -0.130610  -0.131485
40.675000  -0.130490  -0.131367
40.700000  -0.130370  -0.131249
40.725000  -0.130250  -0.131131
40.750000  -0.130130  -0.131014
40.775000  -0.130011  -0.130896
40.800000  -0.129892  -0.130779
40.825000  -0.129772  -0.130662
40.850000  -0.129653  -0.130544
40.875000  -0.129535  -0.130427
40.900000  -0.129416  -0.130311
40.925000  -0.129297  -0.130194
40.950000  -0.129179  -0.130078
40.975000  -0.129061  -0.129961
41.000000  -0.128943  -0.129845
41.025000  -0.128825  -0.129729
41.050000  -0.128707  -0.129613
41.075000  -0.128589  -0.129498
41.100000  -0.128472  -0.129382
41.125000  -0.128355  -0.129267
41.150000  -0.128237  -0.129151
41.175000  -0.128120  -0.129036
41.200000  -0.128004  -0.128921
41.225000  -0.127887  -0.128806
41.250000  -0.127770  -0.128692
41.275000  -0.127654  -0.128577
41.300000  -0.127538  -0.128463
41.325000  -0.127422  -0.128349
41.350000  -0.127306  -0.128235
41.375000  -0.127190  -0.128121
41.400000  -0.127074  -0.128007
41.425000  -0.126959  -0.127893
41.450000  -0.126844  -0.127780
41.475000  -0.126728  -0.127666
41.500000  -0.126613  -0.127553
41.525000  -0.126498  -0.127440
41.550000  -0.126384  -0.127327
41.575000  -0.126269  -0.127215
41.600000  -0.126155  -0.127102
41.625000  -0.126040  -0.126990
41.650000  -0.125926  -0.126877
41.675000  -0.125812  -0.126765
41.700000  -0.125699  -0.126653
41.725000  -0.125585  -0.126541
41.750000  -0.125471  -0.126429
41.775000  -0.125358  -0.126318
41.800000  -0.125245  -0.126206
41.825000  -0.125132  -0.126095
41.850000  -0.125019  -0.125984
41.875000  -0.124906  -0.125873
41.900000  -0.124793  -0.125762
41.925000  -0.124681  -0.125651
41.950000  -0.124568  -0.125541
41.975000  -0.124456  -0.125430
42.000000  -0.124344  -0.125320
42.025000  -0.124232  -0.125210
42.050000  -0.124120  -0.125100
42.075000  -0.124009  -0.124990
42.100000  -0.123897  -0.124880
42.125000  -0.123786  -0.124771
42.150000  -0.123675  -0.124661
42.175000  -0.123564  -0.124552
42.200000  -0.123453  -0.124443
42.225000  -0.123342  -0.124334
42.250000  -0.123231  -0.124225
42.275000  -0.123121  -0.124116
42.300000  -0.123010  -0.124007
42.325000  -0.122900  -0.123899
42.350000  -0.122790  -0.123791
42.375000  -0.122680  -0.123682
42.400000  -0.122570  -0.123574
42.425000  -0.122461  -0.123466
42.450000  -0.122351  -0.123359
42.475000  -0.122242  -0.123251
42.500000  -0.122133  -0.123143
42.525000  -0.122024  -0.123036
42.550000  -0.121915  -0.122929
42.575000  -0.121806  -0.122822
42.600000  -0.121697  -0.122715
42.625000  -0.121589  -0.122608
42.650000  -0.121480  -0.122501
42.675000  -0.121372  -0.122395
42.700000  -0.121264  -0.122288
42.725000  -0.121156  -0.122182
42.750000  -0.121048  -0.122076
42.775000  -0.120940  -0.121970
42.800000  -0.120833  -0.121864
42.825000  -0.120725  -0.121758
42.850000  -0.120618  -0.121652
42.875000  -0.120511  -0.121547
42.900000  -0.120404  -0.121441
42.925000  -0.120297  -0.121336
42.950000  -0.120190  -0.121231
