# r   PMF(r)   Fit(r)
6.650000  -0.934159  -0.946097
6.675000  -0.943676  -0.958242
6.700000  -0.952840  -0.969762
6.725000  -0.961623  -0.980609
6.750000  -0.970004  -0.990744
6.775000  -0.977960  -1.000137
6.800000  -0.985473  -1.008767
6.825000  -0.992525  -1.016621
6.850000  -0.999101  -1.023692
6.875000  -1.005190  -1.029984
6.900000  -1.010780  -1.035502
6.925000  -1.015860  -1.040260
6.950000  -1.020440  -1.044275
6.975000  -1.024500  -1.047570
7.000000  -1.028050  -1.050170
7.025000  -1.031090  -1.052103
7.050000  -1.033620  -1.053398
7.075000  -1.035660  -1.054089
7.100000  -1.037210  -1.054207
7.125000  -1.038290  -1.053786
7.150000  -1.038910  -1.052858
7.175000  -1.039080  -1.051458
7.200000  -1.038830  -1.049617
7.225000  -1.038150  -1.047367
7.250000  -1.037080  -1.044739
7.275000  -1.035630  -1.041760
7.300000  -1.033820  -1.038460
7.325000  -1.031650  -1.034864
7.350000  -1.029150  -1.030997
7.375000  -1.026340  -1.026882
7.400000  -1.023210  -1.022541
7.425000  -1.019800  -1.017995
7.450000  -1.016110  -1.013262
7.475000  -1.012160  -1.008360
7.500000  -1.007950  -1.003305
7.525000  -1.003520  -0.998113
7.550000  -0.998865  -0.992798
7.575000  -0.994006  -0.987374
7.600000  -0.988957  -0.981853
7.625000  -0.983734  -0.976247
7.650000  -0.978353  -0.970569
7.675000  -0.972829  -0.964829
7.700000  -0.967178  -0.959038
7.725000  -0.961417  -0.953206
7.750000  -0.955559  -0.947344
7.775000  -0.949621  -0.941462
7.800000  -0.943617  -0.935569
7.825000  -0.937560  -0.929676
7.850000  -0.931465  -0.923792
7.875000  -0.925343  -0.917928
7.900000  -0.919205  -0.912092
7.925000  -0.913064  -0.906295
7.950000  -0.906928  -0.900546
7.975000  -0.900807  -0.894855
8.000000  -0.894710  -0.889232
8.025000  -0.888648  -0.883686
8.050000  -0.882628  -0.878226
8.075000  -0.876661  -0.872862
8.100000  -0.870757  -0.867603
8.125000  -0.864928  -0.862457
8.150000  -0.859187  -0.857433
8.175000  -0.853546  -0.852538
8.200000  -0.848021  -0.847781
8.225000  -0.842627  -0.843168
8.250000  -0.837381  -0.838707
8.275000  -0.832300  -0.834402
8.300000  -0.827400  -0.830260
8.325000  -0.822699  -0.826286
8.350000  -0.818212  -0.822483
8.375000  -0.813954  -0.818856
8.400000  -0.809939  -0.815406
8.425000  -0.806179  -0.812136
8.450000  -0.802683  -0.809047
8.475000  -0.799459  -0.806140
8.500000  -0.796510  -0.803414
8.525000  -0.793839  -0.800868
8.550000  -0.791445  -0.798499
8.575000  -0.789326  -0.796307
8.600000  -0.787474  -0.794286
8.625000  -0.785883  -0.792434
8.650000  -0.784541  -0.790744
8.675000  -0.783437  -0.789213
8.700000  -0.782557  -0.787833
8.725000  -0.781884  -0.786598
8.750000  -0.781404  -0.785501
8.775000  -0.781097  -0.784535
8.800000  -0.780947  -0.783691
8.825000  -0.780934  -0.782962
8.850000  -0.781041  -0.782338
8.875000  -0.781247  -0.781811
8.900000  -0.781536  -0.781372
8.925000  -0.781889  -0.781011
8.950000  -0.782289  -0.780720
8.975000  -0.782719  -0.780490
9.000000  -0.783163  -0.780311
9.025000  -0.783606  -0.780175
9.050000  -0.784035  -0.780072
9.075000  -0.784436  -0.779995
9.100000  -0.784797  -0.779934
9.125000  -0.785108  -0.779882
9.150000  -0.785358  -0.779832
